Date,County,Date in Selected Range Filter,Month Name,Product Detail Selector,Month Year,Tooltip Date,Sales,Sales Detail
10/1/2016,Baker,TRUE,October,Total,10/1/2016,Oct-16,58637.51,58637.51
10/1/2016,Baker,TRUE,October,Total,10/1/2016,Oct-16,441,441
10/1/2016,Clackamas,TRUE,October,Total,10/1/2016,Oct-16,803.2,803.2
10/1/2016,Clackamas,TRUE,October,Total,10/1/2016,Oct-16,359.68,359.68
10/1/2016,Clackamas,TRUE,October,Total,10/1/2016,Oct-16,30,30
10/1/2016,Clackamas,TRUE,October,Total,10/1/2016,Oct-16,4416.94,4416.94
10/1/2016,Clackamas,TRUE,October,Total,10/1/2016,Oct-16,144,144
10/1/2016,Clackamas,TRUE,October,Total,10/1/2016,Oct-16,223.05,223.05
10/1/2016,Clackamas,TRUE,October,Total,10/1/2016,Oct-16,40.5,40.5
10/1/2016,Clackamas,TRUE,October,Total,10/1/2016,Oct-16,238.8,238.8
10/1/2016,Clatsop,TRUE,October,Total,10/1/2016,Oct-16,10808,10808
10/1/2016,Clatsop,TRUE,October,Total,10/1/2016,Oct-16,3177,3177
10/1/2016,Clatsop,TRUE,October,Total,10/1/2016,Oct-16,1014,1014
10/1/2016,Clatsop,TRUE,October,Total,10/1/2016,Oct-16,42128.05,42128.05
10/1/2016,Clatsop,TRUE,October,Total,10/1/2016,Oct-16,2249,2249
10/1/2016,Clatsop,TRUE,October,Total,10/1/2016,Oct-16,570.5,570.5
10/1/2016,Clatsop,TRUE,October,Total,10/1/2016,Oct-16,184,184
10/1/2016,Clatsop,TRUE,October,Total,10/1/2016,Oct-16,6653.24,6653.24
10/1/2016,Deschutes,TRUE,October,Total,10/1/2016,Oct-16,9588.78,9588.78
10/1/2016,Deschutes,TRUE,October,Total,10/1/2016,Oct-16,6546.11,6546.11
10/1/2016,Deschutes,TRUE,October,Total,10/1/2016,Oct-16,1087.4,1087.4
10/1/2016,Deschutes,TRUE,October,Total,10/1/2016,Oct-16,56737.77,56737.77
10/1/2016,Deschutes,TRUE,October,Total,10/1/2016,Oct-16,174.67,174.67
10/1/2016,Deschutes,TRUE,October,Total,10/1/2016,Oct-16,218.36,218.36
10/1/2016,Deschutes,TRUE,October,Total,10/1/2016,Oct-16,50,50
