,"Revised Population Estimate July 1, 2020","Certified Population Estimate July 1, 2021",Population Change 2020-2021,Percent Change 2020-2021,,,,,,,,,,
 Oregon ,"4,243,791","4,266,560","22,769",0.54%,,,,,,,,,,
 BAKER ,"16,721","16,860",139,0.83%,,,,,,,,,,
 BENTON ,"95,316","93,976","-1,340",-1.41%,,,,,,,,,,
 CLACKAMAS ,"422,185","425,316","3,131",0.74%,,,,,,,,,,
 CLATSOP ,"41,137","41,428",291,0.71%,,,,,,,,,,
 COLUMBIA ,"52,748","53,014",266,0.50%,,,,,,,,,,
 COOS ,"64,958","65,154",196,0.30%,,,,,,,,,,
 CROOK ,"24,866","25,482",616,2.48%,,,,,,,,,,
 CURRY ,"23,510","23,662",152,0.65%,,,,,,,,,,
 DESCHUTES ,"199,259","203,390","4,131",2.07%,,,,,,,,,,
 DOUGLAS ,"111,214","111,694",480,0.43%,,,,,,,,,,
 GILLIAM ,"1,995","2,039",44,2.21%,,,,,,,,,,
 GRANT ,"7,239","7,226",-13,-0.18%,,,,,,,,,,
 HARNEY ,"7,497","7,537",40,0.53%,,,,,,,,,,
 HOOD RIVER ,"23,949","23,888",-61,-0.25%,,,,,,,,,,
 JACKSON ,"223,521","223,827",306,0.14%,,,,,,,,,,
 JEFFERSON ,"24,553","24,889",336,1.37%,,,,,,,,,,
 JOSEPHINE ,"88,204","88,728",524,0.59%,,,,,,,,,,
 KLAMATH ,"69,512","69,822",310,0.45%,,,,,,,,,,
 LAKE ,"8,165","8,177",12,0.15%,,,,,,,,,,
 LANE ,"383,181","382,647",-534,-0.14%,,,,,,,,,,
 LINCOLN ,"50,387","50,903",516,1.02%,,,,,,,,,,
 LINN ,"128,929","130,440","1,511",1.17%,,,,,,,,,,
 MALHEUR ,"31,626","31,995",369,1.17%,,,,,,,,,,
 MARION ,"346,194","347,182",988,0.29%,,,,,,,,,,
 MORROW ,"12,217","12,635",418,3.42%,,,,,,,,,,
 MULTNOMAH ,"816,310","820,672","4,362",0.53%,,,,,,,,,,
 POLK ,"87,916","88,916","1,000",1.14%,,,,,,,,,,
 SHERMAN ,"1,875","1,908",33,1.76%,,,,,,,,,,
 TILLAMOOK ,"27,447","27,628",181,0.66%,,,,,,,,,,
 UMATILLA ,"80,169","80,463",294,0.37%,,,,,,,,,,
 UNION ,"26,729","26,295",-434,-1.62%,,,,,,,,,,
 WALLOWA ,"7,401","7,433",32,0.43%,,,,,,,,,,
 WASCO ,"26,642","26,581",-61,-0.23%,,,,,,,,,,
 WASHINGTON ,"600,895","605,036","4,141",0.69%,,,,,,,,,,
 WHEELER ,"1,451","1,456",5,0.34%,,,,,,,,,,
 YAMHILL ,"107,873","108,261",388,0.36%,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
