county,date,product,marketshare,sales,population
Baker,10/1/2016,Usable MJ,100,58637.51,16860
Baker,10/1/2017,Concentrate/Extract,34.13,584636.12,16860
Baker,10/1/2017,Edible/Tincture,6.87,124261.13,16860
Baker,10/1/2017,Other,1.46,20376.67,16860
Baker,10/1/2017,Usable MJ,57.54,1046157.88,16860
Baker,10/1/2018,Concentrate/Extract,22.76,647949.84,16860
Baker,10/1/2018,Edible/Tincture,7.45,214373.52,16860
Baker,10/1/2018,Industrial Hemp Commodity/Product,1.86,53832.29,16860
Baker,10/1/2018,Other,17.97,517500.96,16860
Baker,10/1/2018,Usable MJ,49.96,1446808.02,16860
Baker,10/1/2019,Concentrate/Extract,28.42,333685.49,16860
Baker,10/1/2019,Edible/Tincture,8.01,95065.16,16860
Baker,10/1/2019,Industrial Hemp Commodity/Product,0.8,9478.78,16860
Baker,10/1/2019,Other,5.41,64170.61,16860
Baker,10/1/2019,Usable MJ,57.36,641647.53,16860
Baker,10/1/2020,Concentrate/Extract,24.73,137385.38,16860
Baker,10/1/2020,Edible/Tincture,9.25,51698.32,16860
Baker,10/1/2020,Industrial Hemp Commodity/Product,0.31,1702.5,16860
Baker,10/1/2020,Other,10.17,57025.52,16860
Baker,10/1/2020,Usable MJ,55.54,276796.2,16860
Baker,10/1/2021,Concentrate/Extract,21.43,74751.82,16860
Baker,10/1/2021,Edible/Tincture,11,39367.11,16860
Baker,10/1/2021,Industrial Hemp Commodity/Product,0.06,235.33,16860
Baker,10/1/2021,Inhalable Product with Non-Cannabis Additives,6.34,22728.46,16860
Baker,10/1/2021,Other,8.15,28954.96,16860
Baker,10/1/2021,Usable MJ,53.02,159265.97,16860
Baker,11/1/2016,Usable MJ,100,188477.52,16860
Baker,11/1/2017,Concentrate/Extract,37.41,621944.08,16860
Baker,11/1/2017,Edible/Tincture,6.63,116418.66,16860
Baker,11/1/2017,Other,1.53,26126.36,16860
Baker,11/1/2017,Usable MJ,54.43,953817.2,16860
Baker,11/1/2018,Concentrate/Extract,19.77,540529.73,16860
Baker,11/1/2018,Edible/Tincture,7.61,220259.01,16860
Baker,11/1/2018,Industrial Hemp Commodity/Product,1.71,49606.54,16860
Baker,11/1/2018,Other,22.52,651368.51,16860
Baker,11/1/2018,Usable MJ,48.38,1404199.95,16860
Baker,11/1/2019,Concentrate/Extract,30.58,273260.87,16860
Baker,11/1/2019,Edible/Tincture,8.11,73119.02,16860
Baker,11/1/2019,Industrial Hemp Commodity/Product,0.62,5625.05,16860
Baker,11/1/2019,Other,2.39,21465.87,16860
Baker,11/1/2019,Usable MJ,58.3,496205.44,16860
Baker,11/1/2020,Concentrate/Extract,23.24,94477.84,16860
Baker,11/1/2020,Edible/Tincture,10.23,41861,16860
Baker,11/1/2020,Industrial Hemp Commodity/Product,0.36,1439.98,16860
Baker,11/1/2020,Other,11.32,46666.13,16860
Baker,11/1/2020,Usable MJ,54.84,201353.77,16860
Baker,11/1/2021,Concentrate/Extract,22.15,65091.04,16860
