Date,Product Type,County,Market Share County,Sales,Population
10/1/2016,Usable MJ,Baker,100,58637.51,13332.6
10/1/2016,Usable MJ,Baker,100,441,13332.6
10/1/2016,Concentrate/Extract,Clackamas,15.14,803.2,316351.8
10/1/2016,Edible/Tincture,Clackamas,9.31,359.68,316351.8
10/1/2016,Other,Clackamas,1.13,30,316351.8
10/1/2016,Usable MJ,Clackamas,74.42,4416.94,316351.8
10/1/2016,Concentrate/Extract,Clackamas,15.14,144,316351.8
10/1/2016,Edible/Tincture,Clackamas,9.31,223.05,316351.8
10/1/2016,Other,Clackamas,1.13,40.5,316351.8
10/1/2016,Usable MJ,Clackamas,74.42,238.8,316351.8
10/1/2016,Concentrate/Extract,Clatsop,19.55,10808,30656.5
10/1/2016,Edible/Tincture,Clatsop,5.61,3177,30656.5
10/1/2016,Other,Clatsop,1.79,1014,30656.5
10/1/2016,Usable MJ,Clatsop,73.04,42128.05,30656.5
10/1/2016,Concentrate/Extract,Clatsop,19.55,2249,30656.5
10/1/2016,Edible/Tincture,Clatsop,5.61,570.5,30656.5
10/1/2016,Other,Clatsop,1.79,184,30656.5
10/1/2016,Usable MJ,Clatsop,73.04,6653.24,30656.5
10/1/2016,Concentrate/Extract,Deschutes,12.36,9588.78,137483.9
10/1/2016,Edible/Tincture,Deschutes,8.56,6546.11,137483.9
10/1/2016,Other,Deschutes,1.44,1087.4,137483.9
10/1/2016,Usable MJ,Deschutes,77.65,56737.77,137483.9
10/1/2016,Concentrate/Extract,Deschutes,12.36,174.67,137483.9
10/1/2016,Edible/Tincture,Deschutes,8.56,218.36,137483.9
10/1/2016,Other,Deschutes,1.44,50,137483.9
10/1/2016,Usable MJ,Deschutes,77.65,4619.01,137483.9
10/1/2016,Concentrate/Extract,Hood River,21.23,21414.29,18771.1
10/1/2016,Edible/Tincture,Hood River,15.73,15717.61,18771.1
10/1/2016,Other,Hood River,4.6,4584.65,18771.1
10/1/2016,Usable MJ,Hood River,58.45,61443.07,18771.1
10/1/2016,Concentrate/Extract,Hood River,21.23,2024.15,18771.1
10/1/2016,Edible/Tincture,Hood River,15.73,1650.81,18771.1
10/1/2016,Other,Hood River,4.6,489.83,18771.1
10/1/2016,Usable MJ,Hood River,58.45,3090.14,18771.1
10/1/2016,Concentrate/Extract,Jackson,31.27,66499.13,169681
10/1/2016,Edible/Tincture,Jackson,10.72,23396.25,169681
10/1/2016,Edible/Tincture,Jackson,10.72,51,169681
10/1/2016,Other,Jackson,8.96,21861.33,169681
10/1/2016,Usable MJ,Jackson,49.05,124808.26,169681
10/1/2016,Concentrate/Extract,Jackson,31.27,28847.32,169681
10/1/2016,Edible/Tincture,Jackson,10.72,9159.04,169681
