Date,Product Type,County,Month Name,Month Year,Tooltip Date,Market Share County,Sales,Sales Detail
10/1/2016,Usable MJ,Baker,October,10/1/2016,October 2016,100,58637.51,58637.51
10/1/2016,Usable MJ,Baker,October,10/1/2016,October 2016,100,441,441
10/1/2016,Concentrate/Extract,Clackamas,October,10/1/2016,October 2016,15.14,803.2,803.2
10/1/2016,Edible/Tincture,Clackamas,October,10/1/2016,October 2016,9.31,359.68,359.68
10/1/2016,Other,Clackamas,October,10/1/2016,October 2016,1.13,30,30
10/1/2016,Usable MJ,Clackamas,October,10/1/2016,October 2016,74.42,4416.94,4416.94
10/1/2016,Concentrate/Extract,Clackamas,October,10/1/2016,October 2016,15.14,144,144
10/1/2016,Edible/Tincture,Clackamas,October,10/1/2016,October 2016,9.31,223.05,223.05
10/1/2016,Other,Clackamas,October,10/1/2016,October 2016,1.13,40.5,40.5
10/1/2016,Usable MJ,Clackamas,October,10/1/2016,October 2016,74.42,238.8,238.8
10/1/2016,Concentrate/Extract,Clatsop,October,10/1/2016,October 2016,19.55,10808,10808
10/1/2016,Edible/Tincture,Clatsop,October,10/1/2016,October 2016,5.61,3177,3177
10/1/2016,Other,Clatsop,October,10/1/2016,October 2016,1.79,1014,1014
10/1/2016,Usable MJ,Clatsop,October,10/1/2016,October 2016,73.04,42128.05,42128.05
10/1/2016,Concentrate/Extract,Clatsop,October,10/1/2016,October 2016,19.55,2249,2249
10/1/2016,Edible/Tincture,Clatsop,October,10/1/2016,October 2016,5.61,570.5,570.5
10/1/2016,Other,Clatsop,October,10/1/2016,October 2016,1.79,184,184
10/1/2016,Usable MJ,Clatsop,October,10/1/2016,October 2016,73.04,6653.24,6653.24
10/1/2016,Concentrate/Extract,Deschutes,October,10/1/2016,October 2016,12.36,9588.78,9588.78
10/1/2016,Edible/Tincture,Deschutes,October,10/1/2016,October 2016,8.56,6546.11,6546.11
10/1/2016,Other,Deschutes,October,10/1/2016,October 2016,1.44,1087.4,1087.4
10/1/2016,Usable MJ,Deschutes,October,10/1/2016,October 2016,77.65,56737.77,56737.77
10/1/2016,Concentrate/Extract,Deschutes,October,10/1/2016,October 2016,12.36,174.67,174.67
10/1/2016,Edible/Tincture,Deschutes,October,10/1/2016,October 2016,8.56,218.36,218.36
10/1/2016,Other,Deschutes,October,10/1/2016,October 2016,1.44,50,50
10/1/2016,Usable MJ,Deschutes,October,10/1/2016,October 2016,77.65,4619.01,4619.01
10/1/2016,Concentrate/Extract,Hood River,October,10/1/2016,October 2016,21.23,21414.29,21414.29
