SalesMonthDate,Product Type,County,Market Share County,Sales
2016-10-01,Concentrate/Extract,Clackamas,15.14,947.2
2016-10-01,Concentrate/Extract,Clatsop,19.55,13057.0
2016-10-01,Concentrate/Extract,Deschutes,12.36,9763.45
2016-10-01,Concentrate/Extract,Hood River,21.23,23438.440000000002
2016-10-01,Concentrate/Extract,Jackson,31.27,95346.45000000001
2016-10-01,Concentrate/Extract,Lane,23.0,13703.61
2016-10-01,Concentrate/Extract,Lincoln,17.0,4466.93
2016-10-01,Concentrate/Extract,Marion,26.42,64188.72
2016-10-01,Concentrate/Extract,Multnomah,26.77,327793.35
2016-10-01,Concentrate/Extract,Tillamook,13.96,414.65
2016-10-01,Concentrate/Extract,Washington,18.93,55698.67
2016-10-01,Concentrate/Extract,Yamhill,21.53,14157.5
2016-10-01,Edible/Tincture,Clackamas,9.31,582.73
2016-10-01,Edible/Tincture,Clatsop,5.61,3747.5
2016-10-01,Edible/Tincture,Deschutes,8.56,6764.469999999999
2016-10-01,Edible/Tincture,Hood River,15.73,17368.420000000002
2016-10-01,Edible/Tincture,Jackson,10.72,32686.29
2016-10-01,Edible/Tincture,Lane,13.24,7888.93
2016-10-01,Edible/Tincture,Lincoln,11.81,3102.56
2016-10-01,Edible/Tincture,Marion,8.85,21504.34
2016-10-01,Edible/Tincture,Multnomah,10.88,133268.1
2016-10-01,Edible/Tincture,Tillamook,0.81,24.0
2016-10-01,Edible/Tincture,Washington,9.21,27106.44
2016-10-01,Edible/Tincture,Yamhill,14.43,9492.44
2016-10-01,Other,Clackamas,1.13,70.5
2016-10-01,Other,Clatsop,1.79,1198.0
2016-10-01,Other,Deschutes,1.44,1137.4
2016-10-01,Other,Hood River,4.6,5074.48
2016-10-01,Other,Jackson,8.96,27307.68
2016-10-01,Other,Lane,1.41,841.41
2016-10-01,Other,Lincoln,7.84,2060.6
2016-10-01,Other,Marion,0.68,1643.1799999999998
2016-10-01,Other,Multnomah,4.06,49734.89
2016-10-01,Other,Tillamook,1.88,56.0
2016-10-01,Other,Washington,3.6,10596.0
2016-10-01,Other,Yamhill,2.52,1657.94
2016-10-01,Usable MJ,Baker,100.0,59078.51
2016-10-01,Usable MJ,Clackamas,74.42,4655.74
2016-10-01,Usable MJ,Clatsop,73.04,48781.29
2016-10-01,Usable MJ,Deschutes,77.65,61356.78
2016-10-01,Usable MJ,Hood River,58.45,64533.21
2016-10-01,Usable MJ,Jackson,49.05,149574.35
2016-10-01,Usable MJ,Lane,62.35,37157.41
2016-10-01,Usable MJ,Lincoln,63.36,16649.81
2016-10-01,Usable MJ,Marion,64.05,155589.37000000002
2016-10-01,Usable MJ,Multnomah,58.28,713625.92
2016-10-01,Usable MJ,Tillamook,83.35,2476.27
2016-10-01,Usable MJ,Washington,68.26,200895.47999999998
2016-10-01,Usable MJ,Yamhill,61.52,40456.35
2016-11-01,Concentrate/Extract,Clackamas,13.58,3296.78
2016-11-01,Concentrate/Extract,Clatsop,6.28,3525.0
2016-11-01,Concentrate/Extract,Columbia,8.7,3538.8
2016-11-01,Concentrate/Extract,Deschutes,11.63,29003.4
2016-11-01,Concentrate/Extract,Douglas,29.59,30604.47
2016-11-01,Concentrate/Extract,Hood River,22.69,24669.02
2016-11-01,Concentrate/Extract,Jackson,16.01,34518.64
2016-11-01,Concentrate/Extract,Lane,11.23,24483.57
2016-11-01,Concentrate/Extract,Lincoln,24.05,25683.8
2016-11-01,Concentrate/Extract,Marion,12.43,41952.67
2016-11-01,Concentrate/Extract,Multnomah,22.29,474987.58
2016-11-01,Concentrate/Extract,Tillamook,20.85,15261.05
2016-11-01,Concentrate/Extract,Washington,15.27,84748.72
2016-11-01,Concentrate/Extract,Yamhill,11.19,9295.359999999999
2016-11-01,Edible/Tincture,Clackamas,4.98,1210.36
2016-11-01,Edible/Tincture,Clatsop,3.79,2130.5
2016-11-01,Edible/Tincture,Columbia,1.76,717.56
2016-11-01,Edible/Tincture,Deschutes,7.44,18536.66
2016-11-01,Edible/Tincture,Douglas,4.24,4387.92
2016-11-01,Edible/Tincture,Hood River,16.0,17400.83
2016-11-01,Edible/Tincture,Jackson,10.48,22590.989999999998
2016-11-01,Edible/Tincture,Lane,6.06,13207.25
2016-11-01,Edible/Tincture,Lincoln,7.7,8220.39
2016-11-01,Edible/Tincture,Marion,2.82,9503.26
2016-11-01,Edible/Tincture,Multnomah,9.02,192128.62
2016-11-01,Edible/Tincture,Tillamook,1.89,1383.47
2016-11-01,Edible/Tincture,Washington,8.07,44783.21
2016-11-01,Edible/Tincture,Yamhill,17.26,14340.92
2016-11-01,Other,Clackamas,2.35,571.23
2016-11-01,Other,Clatsop,1.26,705.0
2016-11-01,Other,Columbia,0.5,203.0
2016-11-01,Other,Deschutes,4.99,12449.14
2016-11-01,Other,Douglas,0.17,172.0
2016-11-01,Other,Hood River,3.49,3797.32
2016-11-01,Other,Jackson,7.06,15219.05
2016-11-01,Other,Lane,0.71,1540.99
2016-11-01,Other,Lincoln,3.12,3336.54
2016-11-01,Other,Marion,1.5,5070.77
2016-11-01,Other,Multnomah,3.79,80806.12
2016-11-01,Other,Tillamook,0.25,184.0
2016-11-01,Other,Washington,3.52,19523.4
2016-11-01,Other,Yamhill,2.13,1773.54
2016-11-01,Usable MJ,Baker,100.0,190163.62
2016-11-01,Usable MJ,Clackamas,79.09,19202.82
2016-11-01,Usable MJ,Clatsop,88.67,49786.35
2016-11-01,Usable MJ,Columbia,89.04,36226.22
2016-11-01,Usable MJ,Curry,100.0,3074.0
2016-11-01,Usable MJ,Deschutes,75.94,189302.11000000002
2016-11-01,Usable MJ,Douglas,66.0,68258.38
2016-11-01,Usable MJ,Hood River,57.82,62864.45
2016-11-01,Usable MJ,Jackson,66.44,143220.73
2016-11-01,Usable MJ,Lane,82.0,178731.46
2016-11-01,Usable MJ,Lincoln,65.13,69557.87000000001
2016-11-01,Usable MJ,Marion,83.25,280869.09
2016-11-01,Usable MJ,Multnomah,64.9,1382824.18
2016-11-01,Usable MJ,Tillamook,77.01,56363.49
2016-11-01,Usable MJ,Washington,73.14,405801.73000000004
2016-11-01,Usable MJ,Yamhill,69.42,57691.8
2016-12-01,Concentrate/Extract,Baker,6.96,15868.06
2016-12-01,Concentrate/Extract,Clackamas,10.46,5730.549999999999
2016-12-01,Concentrate/Extract,Clatsop,12.49,11840.0
2016-12-01,Concentrate/Extract,Columbia,4.75,3714.2799999999997
2016-12-01,Concentrate/Extract,Curry,25.0,10059.97
2016-12-01,Concentrate/Extract,Deschutes,11.42,56910.869999999995
